Czas_ms,Temp_C
5203,29.94
6205,29.95
7207,29.95
8209,29.96
9211,29.98
10213,30.02
11215,30.05
12217,30.08
13219,30.1
14221,30.15
15223,30.16
16225,30.22
17227,30.26
18229,30.3
19231,30.34
20233,30.39
21235,30.42
22237,30.47
23239,30.52
24241,30.55
25243,30.59
26245,30.64
27247,30.69
28249,30.73
29251,30.79
30253,30.84
31255,30.88
32257,30.93
33259,30.97
34261,31.01
35263,31.05
36265,31.1
37267,31.16
38269,31.19
39271,31.25
40273,31.28
41275,31.32
42277,31.37
43279,31.42
44281,31.47
45283,31.5
46285,31.56
47287,31.61
48289,31.65
49291,31.71
50293,31.73
51295,31.78
52297,31.82
53299,31.87
54301,31.91
55303,31.95
56305,32
57307,32.06
58309,32.09
59311,32.14
60313,32.18
61315,32.22
62317,32.27
63319,32.32
64321,32.36
65323,32.4
66325,32.45
67327,32.5
68329,32.54
69331,32.58
70333,32.65
71335,32.68
72337,32.72
73339,32.77
74341,32.82
75343,32.84
76345,32.9
77347,32.95
78349,32.97
79351,33.04
80353,33.07
81355,33.12
82357,33.16
83359,33.2
84361,33.25
85363,33.27
86365,33.32
87367,33.37
88369,33.41
89371,33.46
90373,33.5
91375,33.53
92377,33.57
93379,33.61
94381,33.66
95383,33.68
96385,33.74
97387,33.79
98389,33.83
99391,33.87
100393,33.91
101395,33.97
102397,34
103399,34.05
104401,34.09
105403,34.11
106405,34.16
107407,34.21
108409,34.24
109411,34.25
110413,34.31
111415,34.37
112417,34.4
113419,34.43
114421,34.49
115423,34.52
116425,34.56
117427,34.61
118429,34.66
119431,34.68
120433,34.74
121435,34.75
122437,34.78
123439,34.84
124441,34.89
125443,34.93
126445,34.96
127447,35
128449,35.03
129451,35.06
130453,35.09
131455,35.15
132457,35.16
133459,35.22
134461,35.25
135463,35.29
136465,35.33
137467,35.38
138469,35.4
139471,35.43
140473,35.47
141475,35.52
142477,35.55
143479,35.57
144481,35.61
145483,35.65
146485,35.68
147487,35.72
148489,35.77
149491,35.8
150493,35.84
151495,35.87
152497,35.91
153499,35.93
154501,35.97
155503,36
156505,36.04
157507,36.07
158509,36.09
159511,36.14
160513,36.16
161515,36.21
162517,36.25
163519,36.28
164521,36.32
165523,36.34
166525,36.38
167527,36.41
168529,36.45
169531,36.49
170533,36.5
171535,36.54
172537,36.58
173539,36.61
174541,36.64
175543,36.68
176545,36.72
177547,36.75
178549,36.78
179551,36.81
180553,36.84
181555,36.86
182557,36.9
183559,36.93
184561,36.97
185563,36.99
186565,37.02
187567,37.04
188569,37.09
189571,37.12
190573,37.15
191575,37.18
192577,37.2
193579,37.24
194581,37.27
195583,37.29
196585,37.32
197587,37.36
198589,37.38
199591,37.41
200593,37.43
201595,37.47
202597,37.49
203599,37.53
204601,37.55
205603,37.59
206605,37.62
207607,37.64
208609,37.68
209611,37.7
210613,37.73
211615,37.75
212617,37.79
213619,37.8
214621,37.84
215623,37.86
216625,37.89
217627,37.91
218629,37.93
219631,37.97
220633,37.99
221635,38.03
222637,38.05
223639,38.08
224641,38.11
225643,38.13
226645,38.16
227647,38.18
228649,38.22
229651,38.25
230653,38.27
231655,38.29
232657,38.32
233659,38.36
234661,38.38
235663,38.39
236665,38.41
237667,38.43
238669,38.47
239671,38.49
240673,38.52
241675,38.55
242677,38.58
243679,38.61
244681,38.63
245683,38.64
246685,38.66
247687,38.71
248689,38.73
249691,38.74
250693,38.75
251695,38.79
252697,38.82
253699,38.83
254701,38.86
255703,38.89
256705,38.9
257707,38.93
258709,38.95
259711,38.97
260713,38.99
261715,39.04
262717,39.05
263719,39.07
264721,39.09
265723,39.11
266725,39.14
267727,39.16
268729,39.18
269731,39.2
270733,39.22
271735,39.23
272737,39.25
273739,39.3
274741,39.3
275743,39.33
276745,39.34
277747,39.37
278749,39.39
279751,39.41
280753,39.43
281755,39.46
282757,39.48
283759,39.5
284761,39.53
285763,39.55
286765,39.58
287767,39.59
288769,39.59
289771,39.63
290773,39.65
291775,39.66
292777,39.7
293779,39.7
294781,39.72
295783,39.75
296785,39.77
297787,39.79
298789,39.82
299791,39.83
300793,39.84
301795,39.88
302797,39.89
